"Species","Long","Lat","dtb"
"P_oph",-88.05,15.4167,"gbif"
"P_oph",-87.45,15.7833,"gbif"
"P_oph",-85.460999,15.2468,"gbif"
"P_oph",-85,10.48,"vnet"
"P_oph",-85.07,10.46,"vnet"
"P_oph",-85.4689781,10.6594203,"vnet"
"P_oph",-85.4981752,10.701087,"vnet"
"P_oph",-85.63692,11.02853,"vnet"
"P_oph",-85.19203,10.47833,"vnet"
"P_oph",-89.81667,13.6,"vnet"
"P_oph",-85.4963504,10.6983696,"vnet"
"P_oph",-85.3859,10.5634,"vnet"
"P_oph",-85.32555,10.54122,"vnet"
"P_oph",-85.51283,10.73732,"vnet"
"P_oph",-85.4972628,10.6992754,"vnet"
"P_oph",-85.15248,10.46462,"vnet"
"P_oph",-85.04945,10.47508,"vnet"
"P_oph",-89.86667,13.63333,"vnet"
"P_oph",-85.54927,10.81158,"vnet"
"P_oph",-85.4772,10.6685,"vnet"
"P_oph",-85.19733,10.47917,"vnet"
"P_oph",-85.4854015,10.673913,"vnet"
"P_oph",-85.13187,10.45515,"vnet"
"P_oph",-84.7166667,9.9833333,"vnet"
"P_oph",-85.52553,10.76087,"vnet"
"P_oph",-85.53833,10.79167,"vnet"
"P_oph",-85.47363281,10.68759852,"inat"
"P_oph",-85.61735556,10.83855556,"inat"
"P_oph",-85.7051116,10.8379308,"inat"
"P_oph",-85.4436706,10.6267399,"inat"
"P_oph",-85.61328689,10.83394731,"inat"
"P_oph",-85.6185,10.837155,"inat"
"P_oph",-88.29372883,14.97972493,"inat"
"P_oph",-85.61530843,10.83625486,"inat"
"P_oph",-85.57134306,10.84875875,"inat"
"P_oph",-85.59529167,10.71304667,"inat"
"P_oph",-85.61717167,10.83569667,"inat"
"P_oph",-85.60769666,10.87312141,"inat"
"P_oph",-89.50377725,14.33840734,"inat"
"P_oph",-85.59944444,10.89055556,"inat"
"P_oph",-85.59583333,10.87,"inat"
"P_oph",-86.49004852,13.48432428,"inat"
"P_oph",-85.68263332,10.96181411,"inat"
"P_oph",-85.5958256,10.7139702,"inat"
"P_oph",-85.61333423,10.83727444,"inat"
"P_oph",-85.61301967,10.8343381,"inat"
"P_oph",-85.59875488,10.70354366,"inat"
"P_oph",-87.63587167,14.42890833,"inat"
"P_oph",-88.62073001,13.87370777,"inat"
"P_oph",-84.46152801,14.71595977,"inat"
"P_oph",-85.59962422,10.89078454,"inat"
"P_oph",-85.59493333,10.72697,"inat"
"P_oph",-85.62675854,10.83285383,"inat"
"P_oph",-85.61095181,10.93775907,"inat"
"P_oph",-85.61484776,10.83750487,"inat"
"P_oph",-85.48314828,10.01114219,"inat"
"P_oph",-85.65291896,10.79753363,"inat"
"P_oph",-85.59944153,10.89055538,"inat"
"P_oph",-85.61843833,10.83922,"inat"
"P_oph",-85.58556744,10.75575153,"inat"
"P_oph",-85.82122514,10.23280882,"inat"
"P_oph",-89.4982539,14.37162416,"inat"
"P_oph",-89.50921299,14.36302176,"inat"
"P_oph",-85.02204102,10.4877476,"inat"
"P_oph",-84.99687017,10.50691235,"inat"
"P_oph",-85.95581226,11.71113984,"inat"
"P_oph",-84.82754344,10.12120342,"inat"
"P_oph",-89.48288087,14.27007551,"inat"
"P_oph",-89.8106928,13.5349441,"inat"
"P_oph",-85.780005,10.483275,"inat"
"P_oph",-87.94114667,15.12768617,"inat"
"P_oph",-85.6716,11.01790283,"inat"
"P_oph",-89.56769504,14.3326523,"inat"
"P_oph",-85.3342973,10.3834132,"inat"
"P_oph",-85.33429713,10.38354298,"inat"
"P_oph",-88.66666667,13.8666167,"inat"
"P_oph",-85.3507675,10.7551074,"inat"
"P_oph",-88.24881256,14.93411483,"inat"
"P_oph",-88.79583534,14.78606289,"inat"
"P_oph",-85.77521746,10.42052397,"inat"
"P_oph",-85.83109167,10.34652,"inat"
"P_oph",-84.95977712,10.26546005,"inat"
"P_oph",-85.61846097,10.83666797,"inat"
"P_oph",-85.77621333,10.41756333,"inat"
"P_oph",-85.67627,11.01857217,"inat"
"P_oph",-86.77336184,13.89680264,"inat"
"P_oph",-85.60884167,10.86404167,"inat"
"P_oph",-85.60871167,10.86385333,"inat"
"P_oph",-88.30212783,14.97205331,"inat"
"P_oph",-86.77143672,13.89924549,"inat"
"P_oph",-86.77257601,13.89893663,"inat"
"P_oph",-85.600403,10.7039554,"inat"
"P_oph",-85.52882576,10.99086187,"inat"
"P_oph",-85.68437306,11.00794028,"inat"
"P_oph",-85.616343,10.83631697,"inat"
"P_oph",-88.19027778,13.16944444,"inat"
"P_oph",-85.7749841,10.5339532,"inat"
"P_oph",-85.57440273,10.85165604,"inat"
"P_oph",-86.5778663,13.4945424,"inat"
"P_oph",-85.56905039,10.83405876,"inat"
"P_oph",-85.43927512,10.76769511,"inat"
"P_oph",-85.61697,10.835497,"inat"
"P_oph",-87.69028697,14.32577297,"inat"
"P_oph",-85.5102054,10.8353422,"inat"
"P_oph",-85.68341211,10.9686603,"inat"
"P_oph",-85.642455,10.95001333,"inat"
"P_oph",-85.58802833,10.87184667,"inat"
"P_oph",-84.84854797,10.45528097,"inat"
"P_oph",-85.73048963,10.89729498,"inat"
"P_oph",-85.614559,10.8392821,"inat"
"P_oph",-85.5300625,10.98757744,"inat"
"P_oph",-85.77107594,10.84114805,"inat"
"P_oph",-84.64800777,10.4297684,"inat"
"P_oph",-85.60599236,10.85062684,"inat"
"P_oph",-85.81588667,10.20475333,"inat"
"P_oph",-85.573745,10.71057833,"inat"
"P_oph",-85.70853967,10.9217171,"inat"
"P_oph",-85.77334952,10.81574071,"inat"
"P_oph",-87.09318213,13.6424022,"inat"
"P_oph",-85.61701264,10.83856421,"inat"
"P_oph",-87.23805556,13.70333333,"dig_lit"
"P_oph",-87.24222222,13.82861111,"dig_lit"
"P_oph",-85.67142857,10.50714286,"dig_lit"
"P_oph",-85.72142857,10.41428571,"dig_lit"
"P_oph",-85.13571429,10.30714286,"dig_lit"
"P_oph",-85.06428571,10.36428571,"dig_lit"
"P_oph",-85.06428571,10.27857143,"dig_lit"
"P_oph",-85.03571429,10.22857143,"dig_lit"
"P_oph",-84.97857143,10.24285714,"dig_lit"
"P_oph",-84.97857143,10.18571429,"dig_lit"
"P_oph",-84.27857143,9.742857143,"dig_lit"
